№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
4738	500/D-708049536	08.02.2013	2012	10	37.7	7	1	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1671.09	63000.00	1	Минск14_жм	1	1	1	1558.80
4739	500/D-708049619	18.12.2012	2012	10	76.3	8	3	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1297.51	99000.00	1	Минск14_жм	1	1	1	1350.56
4740	500/D-708049623	27.02.2013	2012	10	76.2	9	3	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1338.58	102000.00	1	Минск14_жм	1	1	1	1398.22
4741	500/D-708049632	06.03.2013	2012	10	37.7	2	1	9.1	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1359.42	51250.00	1	Минск14_жм	1	1	1	1596.36
4742	500/D-708049649	21.11.2012	2012	10	90.1	6	4	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1087.68	98000.00	1	Минск14_жм	1	1	1	1322.40
4743	500/D-708049651	21.11.2012	2012	10	58.1	7	2	12.5	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1342.51	78000.00	1	Минск14_жм	1	1	1	1418.18
4744	500/D-708049652	06.02.2013	2012	10	37.8	7	1	9.2	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1158.17	43778.80	1	Минск14_жм	1	1	1	1558.80
4745	500/D-708049655	09.01.2013	2012	10	58.1	8	2	12.5	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1285.38	74680.60	1	Минск14_жм	1	1	1	1467.65
4746	500/D-708049656	28.12.2012	2012	10	37.8	8	1	9.3	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1467.09	55456.14	1	Минск14_жм	1	1	1	1505.66
4747	500/D-708049678	26.02.2013	2012	10	90	4	4	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1505.17	135465.12	1	Минск14_жм	1	1	1	1384.64
4748	500/D-708049684	05.12.2012	2012	10	37.6	5	1	9.2	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1356.38	51000.00	1	Минск14_жм	1	1	1	1505.66
4749	500/D-708049688	21.12.2012	2012	10	37.7	6	1	9.3	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1379.31	52000.00	1	Минск14_жм	1	1	1	1505.66
4750	500/D-708049728	15.01.2013	2012	10	37.9	6	1	10.3	1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1437.99	54500.00	1	Минск14_жм	1	1	1	1540.67
4751	500/D-708049737	07.03.2013	2012	10	76.5	8	3	10.2	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1401.31	107200.00	1	Минск14_жм	1	1	1	1431.92
4752	500/D-708049738	28.02.2013	2012	10	76.3	9	3	10.3	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1450.33	110660.49	1	Минск14_жм	1	1	1	1398.22
4753	500/D-708054656	10.01.2013	2012	5	101.8	2	3	17.3	2 и более	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1160.51	118140.00	1	Минск19_жм	1	1	0	1425.10
4754	500/D-708054657	11.01.2013	2012	5	90.1	2	3	11.7	1	1	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1135.41	102300.00	1	Минск19_жм	1	1	0	1452.00
4755	500/D-708054658	11.01.2013	2012	5	77.8	2	3	11.3	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1138.17	88550.00	1	Минск19_жм	1	1	0	1479.92
4756	500/D-708054659	10.01.2013	2012	5	66.7	2	2	13.8	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1136.28	75790.00	1	Минск19_жм	1	1	0	1450.02
4757	500/D-708054660	08.02.2013	2012	5	72.2	2	2	11.1	1	нет	3.0 - 4.0		да	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1160.94	83820.00	1	Минск19_жм	1	1	0	1439.40
4758	500/D-708054661	11.01.2013	2012	5	101.9	3	3	17.7	2 и более	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1160.45	118250.00	1	Минск19_жм	1	1	0	1412.03
4759	500/D-708054662	10.01.2013	2012	5	90.7	3	3	12.2	1	1	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1136.38	103070.00	1	Минск19_жм	1	1	0	1452.00
4760	500/D-708054663	07.03.2013	2012	5	77.2	3	3	11.1	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1138.47	87890.00	1	Минск19_жм	1	1	0	1548.30
4761	500/D-708054664	10.01.2013	2012	5	66.7	3	2	13.8	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1136.28	75790.00	1	Минск19_жм	1	1	0	1450.02
4762	500/D-708054665	10.01.2013	2012	5	72	3	2	10.8	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1162.64	83710.00	1	Минск19_жм	1	1	0	1422.66
4763	500/D-708054666	20.12.2012	2012	5	119.9	4	4	15.8	2 и более	нет	3.0 - 4.0		да	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1162.43	139375.15	1	Минск19_жм	1	1	1	1446.60
4764	500/D-708054667	20.12.2012	2012	5	73.2	4	2	11.9	1	2 и более	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1145.08	83820.00	1	Минск19_жм	1	1	1	1390.33
4765	500/D-708054668	11.01.2013	2012	5	77.6	4	3	11.5	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1138.27	88330.00	1	Минск19_жм	1	1	0	1494.29
4766	500/D-708054669	29.01.2013	2012	5	67	4	2	13.7	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1136.12	76120.00	1	Минск19_жм	1	1	0	1450.02
4767	500/D-708054669	31.07.2013	2012	5	67	4	2	13.7	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1567.16	105000.00	1	Минск19_жм	1	1	0	1640.82
4768	500/D-708054670	15.01.2013	2012	5	72.9	4	2	14.5	1	нет	3.0 - 4.0		да	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1161.87	84700.00	1	Минск19_жм	1	1	0	1422.66
4769	500/D-708054672	15.01.2013	2012	5	90.5	5	3	12.2	1	1	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1137.68	102960.00	1	Минск19_жм	1	1	0	1409.71
4770	500/D-708054673	11.01.2013	2012	5	77.6	5	3	11.3	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1138.27	88330.00	1	Минск19_жм	1	1	0	1450.77
4771	500/D-708054674	10.01.2013	2012	5	66.6	5	2	13.6	1	нет	3.0 - 4.0		нет	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1136.34	75680.00	1	Минск19_жм	1	1	0	1407.79
4772	500/D-708054675	10.01.2013	2012	5	72	5	2	11	1	1	3.0 - 4.0		да	Нет		Есть	Приточно-вытяжная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1162.64	83710.00	1	Минск19_жм	1	1	1	1453.92
4773	500/D-708055912	11.12.2012	1969	5	97	5	4	7.1	2 и более	2 и более	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция	Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1081.39	104895.10	0	Минск4_жм	0	0	0	1487.89
4774	500/D-708101052	24.01.2014	2012	12	115.8	6	4	14.6	2 и более	1	2.7 - 3		да	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1804.84	209000.00	1	Минск9_жм	1	0	1	1900.30
4775	500/D-708120827	10.12.2014	2013	7	138.9	2	3	18.5	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1849.24	256860.00	1	Минск7_жм	0	1	1	1798.51
4776	500/D-708120828	10.12.2014	2013	7	132.4	2	3	18.5	1	1	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1874.77	248220.00	1	Минск7_жм	0	1	1	1814.44
4777	500/D-708120829	10.12.2014	2013	7	150.7	2	4	18.5	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1848.97	278640.00	1	Минск7_жм	0	1	1	1798.06
4779	500/D-708120833	10.12.2014	2013	7	133.5	4	3	18.4	2 и более	2 и более	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	1851.24	247140.00	1	Минск7_жм	0	1	1	1814.44
4783	500/D-708120858	10.02.2014	2013	7	132.6	6	3	18.5	1	1	2.7 - 3		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	до 10 включительно	0	2079.94	275800.00	1	Минск7_жм	0	1	1	1912.51
4784	500/D-708138220	06.08.2015	2015	10	80.2	10	3	10.3	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1271.82	102000.00	1	Минск13_жм	0	1	1	1191.05
4785	500/D-708138242	03.09.2015	2015	10	37.7	6	1	9.2	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1352.79	51000.00	1	Минск13_жм	0	1	1	1241.32
4786	500/D-708138277	19.08.2015	2015	10	58.7	6	2	13	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1303.24	76500.00	1	Минск13_жм	0	1	1	1245.00
4787	500/D-708138294	23.09.2015	2015	10	37.6	10	1	9.1	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1377.66	51800.00	1	Минск13_жм	0	1	1	1205.16
4788	500/D-708138301	06.10.2015	2015	10	54.9	2	2	9.3	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	910.75	50000.00	1	Минск13_жм	0	1	1	1206.53
4789	500/D-708138317	16.09.2015	2015	10	76.8	5	3	10.2	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1236.98	95000.00	1	Минск13_жм	0	1	1	1213.15
4790	500/D-708138320	01.10.2015	2015	10	37.8	6	1	9.3	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1375.66	52000.00	1	Минск13_жм	0	1	1	1216.24
4791	500/D-708138385	14.08.2015	2015	10	37.8	10	1	9.2	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1481.48	56000.00	1	Минск13_жм	0	1	1	1230.54
4792	500/D-708138410	07.09.2015	2015	10	59.6	6	2	10.2	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция									Смешанный	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1283.56	76500.00	1	Минск13_жм	0	1	1	1219.33
4793	500/D-708153327	01.09.2015	2015	20	55.2	6	1	13.7	1	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1287.51	71070.36	1	Минск9_жм	0	0	0	1387.81
4794	500/D-708153339	04.09.2015	2015	20	66.9	8	2		1		2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1266.47	84726.57	1	Минск9_жм	0	0	0	1437.31
4795	500/D-708153397	17.06.2015	2015	20	72.4	18	2	13.4	1	1	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1795.58	130000.00	0	Минск9_жм	0	0	0	1517.63
4796	500/D-708153398	17.06.2015	2015	20	55.6	18	1	14.2	1	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1798.56	100000.00	1	Минск9_жм	0	0	1	1479.32
4797	500/D-708153410	03.09.2015	2015	20	55.8	20	1	14.4	1	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1306.36	72894.63	1	Минск9_жм	0	0	0	1347.39
4798	500/D-7116975	25.02.2012	2009	18	61.9	8	2	14.7	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1567.04	97000.00	1	Минск9_жм	0	1	1	1416.92
4799	500/D-7116985	06.03.2013	2009	18	61.6	10	2	14.4	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1127.34	69444.44	0	Минск9_жм	0	1	0	1672.14
4800	500/D-7117018	06.01.2011	2009	18	112.5	16	3	17.5	2 и более	нет	до 2.7		да	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1404.44	158000.00	0	Минск9_жм	0	1	0	
4801	500/D-7117020	14.12.2011	2009	18	62.1	17	2	14.5	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1739.13	108000.00	0	Минск9_жм	0	1	0	
4802	500/D-7117020	28.12.2012	2009	18	62.1	17	2	14.5	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция									Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1723.03	107000.00	1	Минск9_жм	0	1	1	1561.83
4803	500/D-717468	08.11.2012	2006	15	70.1	15	3	9.3	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1283.88	90000.00	1	Минск13_жм	0	1	1	1420.91
4804	500/D-717484	18.04.2012	2006	15	38.3	3	1	10.4	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1095.24	41947.57	1	Минск13_жм	0	1	1	1359.91
4805	500/D-717494	10.10.2012	2006	15	38.8	5	1	10.2	1	нет	до 2.7			Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1672.42	64889.92	0	Минск13_жм	0	1	0	1450.57
4806	500/D-717544	22.10.2011	2006	15	38.1	15	1	10.3	1	1	до 2.7			Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1574.80	60000.00	0	Минск13_жм	0	1	0	
4807	500/D-7211969	16.09.2010	1977	9	63.2	6	3	7.2	1	2 и более	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция	Удовлетворительное								Сборный железобетон	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1257.91	79500.00	0	Минск14_жм	1	1	0	
4808	500/D-723026	17.10.2013	2006	16	43.2	2	1	9.5	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1851.85	80000.00	1	Минск14_жм	1	1	1	1915.19
4809	500/D-723038	23.03.2012	2006	16	43.1	6	2		1	нет	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1786.54	77000.00	1	Минск14_жм	1	1	1	1483.56
4810	500/D-723042	15.08.2012	2006	16	87.6	7	3	10	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1369.86	120000.00	1	Минск14_жм	1	1	1	1361.17
4811	500/D-723062	05.09.2012	2006	16	43.1	6	1	9.4	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1194.90	51500.00	1	Минск14_жм	1	1	1	1531.77
4812	500/D-723088	29.11.2011	2006	16	79	3	3	9.7	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1329.11	105000.00	0	Минск14_жм	1	1	0	
4813	500/D-723141	22.11.2013	2006	16	67.9	12	2	9.4	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	2040.50	138550.00	1	Минск14_жм	1	1	1	1833.70
4814	500/D-723175	22.06.2012	2006	16	87.1	3	3	10.1	1	1	до 2.7		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Отличное								Кирпич, блоки легкобетонные	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 20 до 30 включительно	0	1354.76	118000.00	1	Минск14_жм	1	1	1	1332.52
4815	500/D-723624	03.02.2010	2008	9	118	9	4	13.3	2 и более	1	до 2.7		нет	Централизованное		Централизованное	Естественная вентиляция	Хорошее								Иное	Требуется уточнение материала конструкции здания	г. Минск Советский район	свыше 10 до 20 включительно	0	1694.92	200000.00	0	Минск9_жм	0	1	0	
4816	500/D-72431	20.07.2010	1954	5	65.14	2	2	9	1	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция	Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1535.16	100000.00	0	Минск4_жм	0	0	0	
4817	500/D-73169	11.06.2010	1940	4	43	1	2	6.7	нет	2 и более	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	2119.07	91119.95	0	Минск4_жм	1	0	0	
4818	500/D-73170	05.07.2010	1940	4	33.3	1	1	8.7	нет	нет	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1651.65	55000.00	0	Минск4_жм	1	0	0	
4819	500/D-73195	18.07.2013	1940	4	93.32	1	4				3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	2099.35	195911.51	1	Минск4_жм	1	0	1	
4820	500/D-73195	25.10.2013	1940	4	93.32	1	4				3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1770.37	165210.70	1	Минск4_жм	1	0	1	
4821	500/D-74243	02.02.2013	1946	2	55.1	2	2	3.7	1	1	3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1680.45	92592.59	1	Минск4_жм	1	1	1	1525.14
4822	500/D-74848	17.01.2013	1947	6	72.1	5	4				3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1747.57	126000.00	1	Минск1_жм	1	1	1	
4823	500/D-74849	22.11.2010	1947	6	53.87	2	2	5.4	нет	нет	3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1592.72	85800.00	0	Минск1_жм	1	1	0	
4824	500/D-74907	20.12.2010	1947	6	50.32	2	2	6.5	1	нет	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1584.26	79720.00	0	Минск1_жм	1	1	0	
4825	500/D-74909	01.12.2011	1947	6	65.55	4	2	7.5	2 и более	2 и более	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1678.11	110000.00	0	Минск1_жм	1	1	0	
4826	500/D-75179	19.01.2010	1947	4	57.2	1	2	8.2	нет	1	2.7 - 3		нет	Централизованное		Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1188.81	68000.00	0	Минск12_жм	1	1	0	
4827	500/D-75201	11.10.2012	1947	4	60.2	2	2	9.6	1	1	2.7 - 3		нет	Централизованное		Централизованное		Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 10 до 20 включительно	0	1328.90	80000.00	1	Минск12_жм	1	1	1	1274.24
